Comparison Number,Outcome Number,Subgroup Number,Name,Data Type,Statistical Method,Effect Measure,Analysis Model,Study Confidence Interval,Total Confidence Interval,Test for subgroup differences,Events 1,Mean 1,SD 1,Total 1,Events 2,Mean 2,SD 2,Total 2,Effect Estimate,SE,CI Start,CI End,Weight,Q,P(Q),I²(Q),Tau²,Z,P(Z),Qint,P(Qint),I²(Qint),df,Year of study,Random sequence generation (selection bias),Allocation concealment (selection bias),Blinding of outcome assessment (detection bias),Incomplete outcome data (attrition bias),Selective reporting (reporting bias),Other bias
1,0,0,Sex differences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0,lowerbody strength difference males females,CON,IV,Std. Mean Difference,Random,95%,95%,Yes,0,,,269,0,,,208,-0.32489081,,-0.51452745,-0.13525418,100,18.44042692,0.55841975,0,0,3.35786535,0.00078547,4.46867948,0.0345217,77.6220245,20,,
1,1,1,Males,CON,IV,Std. Mean Difference,Random,,,,0,,,210,0,,,169,-0.42900924,,-0.64180284,-0.21621564,79.41954109,12.71273418,0.69363429,0,0,3.95144716,0.00007768,,,,16,,
1,1,1,Tsitkanou et al . 2017,,,,,,,,0,335.5,14.1,10,0,355.9,17.2,11,-1.2389022,0.48568901,-2.19083516,-0.28696924,3.96854916,,,,,,,,,,,2017,High risk,Unclear risk,Unclear risk,Low risk,Low risk,High risk
1,1,1,Balabinis et al. 2003,,,,,,,,0,235.3,3.98,7,0,240.7,4.88,7,-1.13531322,0.59141924,-2.29447363,0.02384719,2.67643941,,,,,,,,,,,2003,High risk,High risk,Unclear risk,Low risk,Low risk,Low risk
1,1,1,Prieto-González et al. 2022,,,,,,,,0,86.3,2.66,10,0,90.3,4.57,10,-1.02459702,0.48237294,-1.97003061,-0.07916342,4.02330014,,,,,,,,,,,2022,Unclear risk,Low risk,Unclear risk,Unclear risk,Unclear risk,Low risk
1,1,1,Mikkola et al. 2012,,,,,,,,0,209,24,11,0,228,29,16,-0.67958842,0.40425608,-1.47191577,0.11273893,5.72842452,,,,,,,,,,,2012,Unclear risk,Unclear risk,Unclear risk,Low risk,Low risk,Low risk
1,1,1,Libardi et al. 2011,,,,,,,,0,284.3,82.4,11,0,339.1,80.9,12,-0.6471545,0.43038241,-1.49068852,0.19637952,5.05404714,,,,,,,,,,,2011,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,Low risk
1,1,1,Fyfe et al. 2016 *,,,,,,,,0,375.07,58.48,15,0,412,53,8,-0.62764592,0.44944506,-1.50854204,0.2532502,4.63441687,,,,,,,,,,,2016,Low risk,Low risk,Unclear risk,High risk,Low risk,Unclear risk
1,1,1,Panissa et al. 2018,,,,,,,,0,140.51,25.64,11,0,156.41,22.05,8,-0.62692501,0.47849562,-1.56475919,0.31090918,4.08876711,,,,,,,,,,,2018,Low risk,Low risk,Unclear risk,Low risk,Low risk,Low risk
1,1,1,Izquierdo et al. 2005,,,,,,,,0,155.88,20.59,10,0,168.91,21.43,11,-0.59462966,0.44863355,-1.47393525,0.28467593,4.65119797,,,,,,,,,,,2005,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,Low risk
1,1,1,Kraemer et al. 1995,,,,,,,,0,161.11,19.44,9,0,172.69,22.69,9,-0.52199868,0.48157265,-1.46586372,0.42186637,4.03668338,,,,,,,,,,,1995,Low risk,Low risk,Unclear risk,Low risk,Low risk,High risk
