PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"6447050","The biomechanical and biochemical properties of swine tendons--long term effects of exercise on the digital extensors","Woo SL, Ritter MA, Amiel D, Sanders TM, Gomez MA, Kuei SC, Garfin SR, Akeson WH.","Connect Tissue Res. 1980;7(3):177-83. doi: 10.3109/03008208009152109.","Woo SL","Connect Tissue Res","1980","1980/01/01","","","10.3109/03008208009152109"
"6969961","Hemodynamic effects of physical training in established arterial hypertension","De Plaen JF, Detry JM.","Acta Cardiol. 1980;35(3):179-88.","De Plaen JF","Acta Cardiol","1980","1980/01/01","","",""
"7190494","Maximal isometric strength and fiber type composition in power and endurance athletes","Clarkson PM, Kroll W, McBride TC.","Eur J Appl Physiol Occup Physiol. 1980;44(1):35-42. doi: 10.1007/BF00421761.","Clarkson PM","Eur J Appl Physiol Occup Physiol","1980","1980/01/01","","","10.1007/BF00421761"
"7190497","Physiological characteristics of young well-trained swimmers","Vaccaro P, Clarke DH, Morris AF.","Eur J Appl Physiol Occup Physiol. 1980;44(1):61-6. doi: 10.1007/BF00421764.","Vaccaro P","Eur J Appl Physiol Occup Physiol","1980","1980/01/01","","","10.1007/BF00421764"
"7193134","Interference of strength development by simultaneously training for strength and endurance","Hickson RC.","Eur J Appl Physiol Occup Physiol. 1980;45(2-3):255-63. doi: 10.1007/BF00421333.","Hickson RC","Eur J Appl Physiol Occup Physiol","1980","1980/01/01","","","10.1007/BF00421333"
"7453510","Strength training effects on aerobic power and short-term endurance","Hickson RC, Rosenkoetter MA, Brown MM.","Med Sci Sports Exerc. 1980;12(5):336-9.","Hickson RC","Med Sci Sports Exerc","1980","1980/01/01","","",""
"6989433","Controlled trial of supervised exercise training in chronic bronchitis","Sinclair DJ, Ingram CG.","Br Med J. 1980 Feb 23;280(6213):519-21. doi: 10.1136/bmj.280.6213.519.","Sinclair DJ","Br Med J","1980","1980/02/23","PMC1601379","","10.1136/bmj.280.6213.519"
"7188589","Quadriceps function and training after knee ligament surgery","Grimby G, Gustafsson E, Peterson L, Renström P.","Med Sci Sports Exerc. 1980 Spring;12(1):70-5.","Grimby G","Med Sci Sports Exerc","1980","1980/01/01","","",""
"7457275","Physical training in old men","Aniansson A, Grimby G, Rundgren A, Svanborg A, Orlander J.","Age Ageing. 1980 Aug;9(3):186-7. doi: 10.1093/ageing/9.3.186.","Aniansson A","Age Ageing","1980","1980/08/01","","","10.1093/ageing/9.3.186"
"6448133","Left ventricular responses to a program of lower-limb strength training","Kanakis C, Hickson RC.","Chest. 1980 Oct;78(4):618-21. doi: 10.1378/chest.78.4.618.","Kanakis C","Chest","1980","1980/10/01","","","10.1378/chest.78.4.618"
"7440282","Cardiovascular responses to static exercise in distance runners and weight lifters","Longhurst JC, Kelly AR, Gonyea WJ, Mitchell JH.","J Appl Physiol Respir Environ Exerc Physiol. 1980 Oct;49(4):676-83. doi: 10.1152/jappl.1980.49.4.676.","Longhurst JC","J Appl Physiol Respir Environ Exerc Physiol","1980","1980/10/01","","","10.1152/jappl.1980.49.4.676"
"7449040","Morphological muscle characteristics in rowers","Larsson L, Forsberg A.","Can J Appl Sport Sci. 1980 Dec;5(4):239-44.","Larsson L","Can J Appl Sport Sci","1980","1980/12/01","","",""
"7268326","Adaptation to peripheral muscle training","Gaffney FA, Grimby G, Danneskiold-Samsøe B, Halskov O.","Scand J Rehabil Med. 1981;13(1):11-6.","Gaffney FA","Scand J Rehabil Med","1981","1981/01/01","","",""
"7280468","[Cardiorespiratory function in young bronchitis patients, mostly mineworkers, before and after kinesitherapy and exertion training. Comparison with a control group (Preliminary results)]","Marcq M, Minette A.","Rev Inst Hyg Mines (Hasselt). 1981;36(1):5-31.","Marcq M","Rev Inst Hyg Mines (Hasselt)","1981","1981/01/01","","",""
"27462744","Circuit Weight Training: A Critical Review of Its Physiological Benefits","Gettman LR, Pollock ML.","Phys Sportsmed. 1981 Jan;9(1):44-60. doi: 10.1080/00913847.1981.11710988.","Gettman LR","Phys Sportsmed","1981","2016/07/28","","","10.1080/00913847.1981.11710988"
"7006111","Fifty years of training and competition in the marathon: Wally Hayward, age 70--a physiological profile","Maud PJ, Pollock ML, Foster C, Anholm JD, Guten G, Al-Nouri M, Hellman C, Schmidt DH.","S Afr Med J. 1981 Jan 31;59(5):153-7.","Maud PJ","S Afr Med J","1981","1981/01/31","","",""
"7253614","The effects of exercise on the biomechanical and biochemical properties of swine digital flexor tendons","Woo SL, Gomez MA, Amiel D, Ritter MA, Gelberman RH, Akeson WH.","J Biomech Eng. 1981 Feb;103(1):51-6. doi: 10.1115/1.3138246.","Woo SL","J Biomech Eng","1981","1981/02/01","","","10.1115/1.3138246"
"7224354","Inspiratory muscle training compared with physiotherapy in patients with chronic airflow limitation","Pardy RL, Rivington RN, Despas PJ, Macklem PT.","Am Rev Respir Dis. 1981 Apr;123(4 Pt 1):421-5. doi: 10.1164/arrd.1981.123.4.421.","Pardy RL","Am Rev Respir Dis","1981","1981/04/01","","","10.1164/arrd.1981.123.4.421"
