PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36220447","Swimming exercise and nano-l-arginine supplementation improve oxidative capacity and some autophagy-related genes in the soleus muscle of aging rats","Zargani M, Rahimi A, Mazaheri Tirani Z, Arabzadeh E, Feizolahi F.","Gene. 2023 Jan 20;850:146955. doi: 10.1016/j.gene.2022.146955. Epub 2022 Oct 8.","Zargani M","Gene","2023","2022/10/11","","","10.1016/j.gene.2022.146955"
"36226732","Pediatric strength training: benefits, concerns, and current trends","Wang X, Dubrosa F, O'Connor M, Sangiuolo K, Milanaik RL.","Curr Opin Pediatr. 2022 Dec 1;34(6):625-633. doi: 10.1097/MOP.0000000000001187. Epub 2022 Oct 13.","Wang X","Curr Opin Pediatr","2022","2022/10/13","","","10.1097/MOP.0000000000001187"
"36217116","Physiotherapy in lymphangioleiomyomatosis: a systematic review","Medeiros VMG, Gonçalves de Lima J, Rosa C, Rega J, Mediano MFF, Rodrigues Junior LF.","Ann Med. 2022 Dec;54(1):2744-2751. doi: 10.1080/07853890.2022.2128401.","Medeiros VMG","Ann Med","2022","2022/10/10","PMC9559050","","10.1080/07853890.2022.2128401"
"36183850","Effects of 12-week moderate aerobic exercise on ROCK2 activity, hs-CRP and glycemic index in obese patients with impaired glucose tolerance","Kargarfard M, Nobari H, Kamyar K, Zadeh AK, Oliveira R.","Physiol Behav. 2022 Dec 1;257:113976. doi: 10.1016/j.physbeh.2022.113976. Epub 2022 Sep 29.","Kargarfard M","Physiol Behav","2022","2022/10/02","","","10.1016/j.physbeh.2022.113976"
"36112218","Maximal intended velocity enhances strength training-induced neuromuscular stimulation in older adults","Tøien T, Malmo T, Espedal L, Wang E.","Eur J Appl Physiol. 2022 Dec;122(12):2627-2636. doi: 10.1007/s00421-022-05045-8. Epub 2022 Sep 16.","Tøien T","Eur J Appl Physiol","2022","2022/09/16","PMC9613575","","10.1007/s00421-022-05045-8"
"36107233","Comparison between concentric-only, eccentric-only, and concentric-eccentric resistance training of the elbow flexors for their effects on muscle strength and hypertrophy","Sato S, Yoshida R, Murakoshi F, Sasaki Y, Yahata K, Kasahara K, Nunes JP, Nosaka K, Nakamura M.","Eur J Appl Physiol. 2022 Dec;122(12):2607-2614. doi: 10.1007/s00421-022-05035-w. Epub 2022 Sep 15.","Sato S","Eur J Appl Physiol","2022","2022/09/15","","","10.1007/s00421-022-05035-w"
"36053363","The effect of rugby training on indirect markers of gut permeability and gut damage in academy level rugby players","Chantler S, Griffiths A, Phibbs P, Roe G, Ramírez-López C, Davison G, Jones B, Deighton K.","Eur J Appl Physiol. 2022 Dec;122(12):2545-2554. doi: 10.1007/s00421-022-05027-w. Epub 2022 Sep 2.","Chantler S","Eur J Appl Physiol","2022","2022/09/02","PMC9613545","","10.1007/s00421-022-05027-w"
"35942800","The fully engaged inspiratory muscle training reduces postoperative pulmonary complications rate and increased respiratory muscle function in patients with upper abdominal surgery: a randomized controlled trial","Huang YT, Lin YJ, Hung CH, Cheng HC, Yang HL, Kuo YL, Chu PM, Tsai YF, Tsai KL.","Ann Med. 2022 Dec;54(1):2222-2232. doi: 10.1080/07853890.2022.2106511.","Huang YT","Ann Med","2022","2022/08/09","PMC9455324","","10.1080/07853890.2022.2106511"
"35831667","Effect of curcumin supplementation on exercise-induced muscle damage: a narrative review","Nanavati K, Rutherfurd-Markwick K, Lee SJ, Bishop NC, Ali A.","Eur J Nutr. 2022 Dec;61(8):3835-3855. doi: 10.1007/s00394-022-02943-7. Epub 2022 Jul 13.","Nanavati K","Eur J Nutr","2022","2022/07/13","PMC9596560","","10.1007/s00394-022-02943-7"
"35789452","The effect of a 9-month hybrid intradialytic exercise training program on nerve conduction velocity parameters in patients receiving hemodialysis therapy","Grigoriou SS, Karatzaferi C, Giannaki CD, Patramani G, Vogiatzi C, Mitrou GI, Stefanidis I, Sakkas GK.","Int Urol Nephrol. 2022 Dec;54(12):3271-3281. doi: 10.1007/s11255-022-03266-6. Epub 2022 Jul 5.","Grigoriou SS","Int Urol Nephrol","2022","2022/07/05","","","10.1007/s11255-022-03266-6"
