Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"10 weeks of heavy strength training improves performance-related measurements in elite cyclists.","Rønnestad, Bent R.; Hansen, Joar; Nygaard, Håvard","Journal of Sports Sciences",="02640414",,="20170715","35","14","1435","7","122658189",,,"Article","AEROBIC exercises; ATHLETIC ability; CYCLING; EXERCISE; MUSCLE strength; PHYSICAL fitness; ELITE athletes",,"Elite cyclists have often a limited period of time available during their short preparation phase to focus on development of maximal strength; therefore, the purpose of the present study was to investigate the effect of 10-week heavy strength training on lean lower-body mass, leg strength, determinants of cycling performance and cycling performance in elite cyclists. Twelve cyclists performed heavy strength training and normal endurance training (E&S) while 8 other cyclists performed normal endurance training only (E). Following the intervention period E&S had a larger increase in maximal isometric half squat, mean power output during a 30-s Wingate sprint (P < 0.05) and a tendency towards larger improvement in power output at 4 mmol ∙ L−1[la−] than E (P = 0.068). There were no significant difference between E&S and E in changes in 40-min all-out trial (4 ± 6% vs. −1 ± 6%, respectively,P = 0.13). These beneficial effects may encourage elite cyclists to perform heavy strength training and the short period of only 10 weeks should make it executable even in the compressed training and competition schedule of elite cyclists. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=122658189&site=ehost-live"
"12th Commonwealth International Sport conference, 19-23 July 2002, Manchester, United Kingdom: abstract book.",,,,,="20020101",,,,,"SPHS-839124",,"Association of Commonwealth Universities","Monograph or government document","SPORTS sciences; MEETINGS",,,"https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=SPHS-839124&site=ehost-live"
"16-week Combined Exercise Training Improves Muscle Quality In Breast Cancer Survivors.","Riley, Sasha; Lee, Jordan T.; Wagoner, Chad W.; Nyrop, Kirsten A.; Jensen, Brian C.; Muss, Hyman B.; Hanson, Erik D.; Battaglini, Claudio L.","Medicine & Science in Sports & Exercise",="01959131",,="20210802","53","8S","477","1/3","152582905",,,"Article","MUSCLE physiology; CONFERENCES & conventions; CANCER patients; EXERCISE; CLINICAL trials; COMBINED modality therapy; BREAST tumors",,"Cancer treatment is associated with skeletal muscle loss, leading to reductions in muscular strength and functional capacity. Exercise training can improve muscular strength in breast cancer survivors (BCS), even without skeletal muscle hypertrophy. Factors such as improved muscle quality (MQ) may contribute to improved function but limited data are available in BCS. PURPOSE: To investigate the effects of exercise training in BCS and healthy controls (HC) on MQ, cross-sectional area (CSA), muscular strength, and physical function and to examine associations between these measures. METHODS: BCS (n=31, 54 [11] y, 27.5 [5.0] kg/m²) and HC (n=15, 54 [8] y, 29.3 [4.9] kg/m²) underwent a 16-week combined aerobic and strength training intervention 3x/week for one-hour at a community-based exercise program for BCS. Isokinetic peak torque and maximal voluntary isometric contraction (MVIC) were assessed in the knee extensor muscles. Ultrasound was used to determine muscle CSA and echo intensity of the vastus lateralis. Functional parameters included 6-minute walk (6MWT) and timed up and go (TUG). All measures were taken pre- and post-intervention and were analyzed using a 2x2 repeated measures ANOVA and Pearson's correlations. Data are mean change [SD]. RESULTS: Echo intensity decreased with training overall (-5.4 [24.6], p=.046), indicating higher MQ, with no change in CSA. A time x group interaction for MVIC showed increased strength after training in BCS (+11.0 [17.2] N·m, p=.001) but not HC (-2.6 [23.7] N·m, p=.673). Physical function improved in both groups (TUG -0.5 [0.9] sec, p<.000; 6MWT 35.5 [45.0] m, p<.001). At baseline, echo intensity was inversely correlated with MVIC, TUG and 6MWT in HC only (r= -0.451-0.490, all p<0.05). No associations in the changes of these variables were observed with training. CONCLUSION: A 16-week exercise intervention improved MQ and functional measures in both BCS and HC, while MVIC increased only in BCS. MQ was moderately correlated with functional and strength measures at baseline in HC but not in BCS. The lack of correlations in BCS suggest that other factors, possibly neural adaptations, may be responsible for the improvements in muscular strength and functional measures seen after an exercise intervention rather than improvements in MQ and CSA. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=152582905&site=ehost-live"
"1990 United States Olympic Festival Dressage Competition.","Ludwig, M.",,,,="19900101",,,,,"SPH325856",,"Pedco Productions","Videocassette","DRESSAGE; CONTESTS; SPORTS officiating; UNITED States; NINETEEN ninety, A.D.",,"An educational video featuring some of the best Prix St. Georges and Intermediate I horses and riders in the United States. They competed for team and individual honours at the 1990 U.S. Olympic Festival in St. Paul, Minnesota. The riders featured are: Belinda Baudin, Gary Rockwell, Linda Zang, Lendon Gray, Terry Koenig, Kimberly Deaton, Kathy Adams and Michael Poulin. Dressage judge Marianne Ludwig gives her scores and expert analysis of each ride to help viewers understand what a judge is looking for and what a competitor is trying to accomplish. Marianne comments on aspects such as balance, gait, engagement, walk, submission, transition and suppleness.","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=SPH325856&site=ehost-live"
"A 12-week physical training program - effects on fibromyalgia patients.","Diana, Dragoi; Rodica, Traistaru; Eugenia, Rosulescu; Mirela, Vasilescu; Daniela, Matei; Roxana, Popescu","Sports Medicine Journal / Medicina Sportivâ",="18410162",,="20120301","8","1","1769","6","74249983",,,"Article","FIBROMYALGIA; PHYSICAL training & conditioning; PHYSICAL activity; EXERCISE; SPORTS medicine",,"Background. Fibromyalgia is a common musculoskeletal disorder characterized by widespread chronic pain, fatigue, sleep disorders, depression or anxiety and cognitive alterations. It has several therapy options, physical exercise being one of the most recommended. The purpose of this study was to examine the effects of a combined training program on pain and associated symptoms in fibromyalgia patients. Methods The study included 34 patients who underwent a 12-week physical training program. The program included 3 weeks of flexibility exercises, 3 weeks of postural hygiene and balance exercises, 3 weeks of aerobic exercises and 3 weeks of Pilates. We monitored the number of tender points, pain rated by the patient and measured with a digital algometer in 6 points of the body, level of anxiety and depression and disease impact. All the parameters were evaluated before and after the program, as well as 4 months after the program was over. Results: The average number of tender points dropped from an initial 12 to 5.6, scores for pain registered a 43% decrease and disease impact diminished from 53.1 to 39.1 (p<0.001). The pain threshold indicated by the algometer improved on all measured points. Positive results in these parameters were still observed at follow-up. No significant results were found for depression and anxiety. Conclusion: a mixed training program improves the level of pain, number of tender points, disease impact and quality of life in fibromyalgia patients. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=74249983&site=ehost-live"
"A Brief Review on Concurrent Training: From Laboratory to the Field.","Methenitis, Spyridon","Sports (2075-4663)",="20754663",,="20181201","6","4","127","1","133826171",,,"Article","CONCURRENT training (Physical training & conditioning); STRENGTH training; PROTEIN kinases; ADENOSINE monophosphate; HIGH-intensity interval training",,"The majority of sports rely on concurrent training (CT; e.g., the simultaneous training of strength and endurance). However, a phenomenon called ""Concurrent training effect"" (CTE), which is a compromise in adaptation resulting from concurrent training, appears to be mostly affected by the interference of the molecular pathways of the underlying adaptations from each type of training segments. Until now, it seems that the volume, intensity, type, frequency of endurance training, as well as the training history and background strongly affect the CTE. High volume, moderate, continuous and frequent endurance training, are thought to negatively affect the resistance training-induced adaptations, probably by inhibition of the Protein kinase B—mammalian target of rapamycin pathway activation, of the adenosine monophosphate-activated protein kinase (AMPK). In contrast, it seems that short bouts of high-intensity interval training (HIIT) or sprint interval training (SIT) minimize the negative effects of concurrent training. This is particularly the case when HIIT and SIT incorporated in cycling have even lower or even no negative effects, while they provide at least the same metabolic adaptations, probably through the peroxisome proliferator-activated receptor-γ coactivator (PGC-1a) pathway. However, significant questions about the molecular events underlying the CTE remain unanswered. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=133826171&site=ehost-live"
"A BRIEF REVIEW.","WILLARDSON, JEFFREY M.","Journal of Strength & Conditioning Research",="10648011",,="20061101","20","4","978","7","113579473",,,"Article",,,"Research has indicated that multiple sets are superior to single sets for maximal strength development. However, whether maximal strength gains are achieved may depend on the ability to sustain a consistent number of repetitions over consecutive sets. A key factor that determines the ability to sustain repetitions is the length of rest interval between sets. The length of the rest interval is commonly prescribed based on the training goal, but may vary based on several other factors. The purpose of this review was to discuss these factors in the context of different training goals. When training for muscular strength, the magnitude of the load lifted is a key determinant of the rest interval prescribed between sets. For loads less than 90% of 1 repetition maximum, 3-5 minutes rest between sets allows for greater strength increases through the maintenance of training intensity. However, when testing for maximal strength, 1-2 minutes rest between sets might be sufficient between repeated attempts. When training for muscular power, a minimum of 3 minutes rest should be prescribed between sets of repeated maximal effort movements (e.g., plyometric jumps). When training for muscular hypertrophy, consecutive sets should be performed prior to when full recovery has taken place. Shorter rest intervals of 30-60 seconds between sets have been associated with higher acute increases in growth hormone, which may contribute to the hypertrophic effect. When training for muscular endurance, an ideal strategy might be to perform resistance exercises in a circuit, with shorter rest intervals (e.g., 30 seconds) between exercises that involve dissimilar muscle groups, and longer rest intervals (e.g., 3 minutes) between exercises that involve similar muscle groups. In summary, the length of the rest interval between sets is only 1 component of a resistance exercise program directed toward different training goals. Prescribing the appropriate rest interval does not ensure a desired outcome if other components such as intensity and volume are not prescribed appropriately. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=113579473&site=ehost-live"
"A Brief Review: How Much Rest between Sets?","Willardson, Jeffrey M.","Strength & Conditioning Journal (Lippincott Williams & Wilkins)",="15241602",,="20080601","30","3","44","7","44350797",,,"Article","ISOMETRIC exercise; PHYSICAL training & conditioning; PHYSICAL education; ATHLETES; BLOOD circulation",,"The article discusses the results of studies related to the length of rest interval needed in resistance training to maximize its benefits for athletes. The purpose of a rest interval is to effectuate intramuscular blood flow, which then provides oxygen delivery to restore phosphocreatine levels and intramuscular pH. Rest interval lengths vary according to the goal of every athlete, including training for power, endurance and hypertrophy. A period of rest in each set is necessary as muscles reach fatigue during a resistance exercise.","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=44350797&site=ehost-live"
"A Collaborative Approach to Prevent Medial Elbow Injuries in Baseball Pitchers.","Crotin, Ryan L","Strength & Conditioning Journal",="15241602",,="20111001","33","5","1","24","108197383",,,"Journal Article",,,"Baseball pitchers are highly susceptible to medial elbow injuries. Pitching frequency, pitch accumulation, pathomechanics, exercise physiology status, and injury history must be evaluated in all athletes to reduce risks. Player development combines efforts of both human performance and pitching coaches. The mechanisms associated with medial elbow injuries will be described through functional anatomy, injury data, and biomechanics. Concurrent training (combined strength, conditioning, and pitching training) will be suggested in managing repetitive strain injury risks. The information forms a preventative approach in reducing medial elbow injury risks, while maximizing physiologic and mechanical performance in elite-level high school, collegiate, and professional pitchers. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=108197383&site=ehost-live"
"A Combined Nutrition and Exercise Intervention Influences Serum Vitamin B-12 and 25-Hydroxyvitamin D and Bone Turnover of Healthy Chinese Middle-Aged and Older Adults.","Groenendijk, Inge; Chan, Ruth; Woo, Jean; Ong, Sherlin; Parikh, Panam; Bragt, Marjolijn C E; de Groot, Lisette C P G M; Bragt, Marjolijn Ce; de Groot, Lisette Cpgm; de Groot, Lisette C P G M","Journal of Nutrition",="00223166",,="20200801","150","8","2112","8","144947493",,,"journal article","BONES; OLDER people; AEROBIC capacity; RESISTANCE training; NUTRITION; VITAMIN D; PHYSICAL activity; HONG Kong (China); MIDDLE-aged persons",,"<bold>Background: </bold>Hong Kong faces several public health problems including malnutrition and osteoporosis. Considering the typical Chinese diet and overall low physical activity levels of Chinese adults, timely interventions to improve nutritional status and bone health are needed.<bold>Objectives: </bold>We examined the effects of a nutrition plus exercise intervention on serum vitamin B-12 and 25-hydroxyvitamin D [25(OH)D], bone turnover markers, and parathyroid hormone (PTH) concentrations in apparently healthy Chinese middle-aged and older adults.<bold>Methods: </bold>In this 24-wk randomized controlled trial, 180 Chinese adults (85 women, mean ± SD age: 61 ± 6 y) were randomly assigned to receive a fortified milk supplement (2 × 30 g/d) and an exercise program (2 × 1 h/wk including resistance, balance, and aerobic training) or no intervention. The primary outcome was physical performance. In this article we analyzed the secondary outcomes serum vitamin B-12 and 25(OH)D concentrations, assessed at baseline, 12 wk, and 24 wk. Also, bone turnover markers and PTH concentrations were studied. Linear mixed models evaluated group differences over time.<bold>Results: </bold>A significant time × group interaction (P < 0.001) was found for serum vitamin B-12 and 25(OH)D concentrations and the bone turnover markers, but not for serum PTH concentrations (P = 0.09). The intervention increased mean ± SD vitamin B-12 concentrations from baseline (345 ± 119 pmol/L) to 24 wk (484 ± 136 pmol/L), whereas concentrations remained stable within the control. For 25(OH)D concentrations, the intervention group had a greater increase from baseline (54.7 ± 14.2 nmol/L) to 24 wk (80.1 ± 19.2 nmol/L) than the control (60.6 ± 15.2 compared with 65.6 ± 14.6 nmol/L). The ratio of the net effect of bone formation and resorption was greater in the intervention group, suggesting less bone remodeling, irrespective of sex.<bold>Conclusions: </bold>A fortified milk supplement and exercise intervention successfully improved vitamin B-12 and 25(OH)D concentrations as well as the balance of bone turnover markers of Chinese middle-aged and older adults.This trial was registered at trialregister.nl as NTR6214. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=144947493&site=ehost-live"
